article_id,title,company_name_raw,company_key,company_matched,company_match_method,company_match_score,published_date_raw,published_date_clean,date_status,pub_year,pub_quarter,pub_month,category_raw,category_std,revenue_raw,arr_usd,arr_status,currency_detected,summary,url,author,word_count,_source_row_number,_source_file,_loaded_at
ART0001,Scale AI Raises Series D Funding Round,Scale AI,Scale AI,True,exact,100.0,21 Feb 2020,2020-02-21,parsed,2020,1,2,Financial Technology,FINTECH,,,missing,,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/1,John Smith,2569.0,1,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0002,DataRobot Announces Breakthrough in Large Language Models,DataRobot,DataRobot,True,exact,100.0,02/23/2023,2023-02-23,parsed,2023,1,2,Software,SOFTWARE,"£244,094,488",310000000,parsed,GBP,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/2,Alex Johnson,1878.0,2,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0003,Meta AI Raises Series D Funding Round,Meta AI,Meta AI,True,exact,100.0,2022-02-17,2022-02-17,parsed,2022,1,2,Analytics,DATA_ANALYTICS,,,missing,,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/3,John Smith,1981.0,3,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0004,Confluent Reports Record Revenue Growth,Confluent,Confluent,True,exact,100.0,2023-12-13,2023-12-13,parsed,2023,4,12,Artificial Intelligence,AI_ML,$980.0M,980000000,parsed,USD,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/4,Sam Wilson,1994.0,4,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0005,Amazon Web Services Acquires Competitor for Undisclosed Sum,Amazon Web Services,Amazon Web Services,True,exact,100.0,12/28/2021,2021-12-28,parsed,2021,4,12,Financial Technology,FINTECH,Not disclosed,,not_disclosed,,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/5,Alex Johnson,2781.0,5,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0006,NVIDIA Achieves Profitability Milestone,NVIDIA,NVIDIA,True,exact,100.0,2021-10-26,2021-10-26,parsed,2021,4,10,FinTech,FINTECH,$16.800B,16800000000,parsed,USD,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/6,,1788.0,6,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0007,Tesla Achieves Profitability Milestone,Tesla,Tesla,True,exact,100.0,"October 19, 2022",2022-10-19,parsed,2022,4,10,Security,SECURITY,75000.0M USD,75000000000,parsed,USD,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/7,,1398.0,7,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0008,Microsoft Releases Open Source Framework,Microsoft,Microsoft,True,exact,100.0,2022-10-07,2022-10-07,parsed,2022,4,10,Artificial Intelligence,AI_ML,,,missing,,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/8,Sam Wilson,2417.0,8,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0009,MongoDB Expands into European Market,MongoDB,MongoDB,True,exact,100.0,2023-02-07,2023-02-07,parsed,2023,1,2,AI & ML,AI_ML,$1.480 billion,1480000000,parsed,USD,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/9,Jane Doe,1578.0,9,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0010,MongoDB Launches New AI-Powered Product,MongoDB,MongoDB,True,exact,100.0,2022-11-05,2022-11-05,parsed,2022,4,11,Finance,FINTECH,"€1,254,545,455",1380000000,parsed,EUR,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/10,,2672.0,10,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0011,OpenAI Faces Regulatory Scrutiny,OpenAI,OpenAI,True,exact,100.0,"October 25, 2021",2021-10-25,parsed,2021,4,10,AI/ML,AI_ML,$320.0M,320000000,parsed,USD,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/11,John Smith,,11,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0012,Cloudflare Raises Series D Funding Round,Cloudflare,Cloudflare,True,exact,100.0,12/26/2022,2022-12-26,parsed,2022,4,12,Cloud Computing,CLOUD,N/A,,missing,,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/12,,1776.0,12,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0013,Uber Achieves Profitability Milestone,Uber,Uber,True,exact,100.0,23-08-2023,2023-08-23,parsed,2023,3,8,Security,SECURITY,$32.000B,32000000000,parsed,USD,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/13,John Smith,1442.0,13,tech_news.csv,2026-08-22T21:58:37.269504+00:00
ART0014,Confluent Reports Record Revenue Growth,Confluent,Confluent,True,exact,100.0,2020-01-15,2020-01-15,parsed,2020,1,1,Artificial Intelligence,AI_ML,$260.0M,260000000,parsed,USD,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/14,Jane Doe,2488.0,14,tech_news.csv,2026-08-22T21:58:37.269504+00:00
